trend,ntweets,nretweets,nmentions,k,L,clustering,betweenness,entropy,diam_rt,v_rt,diam_ment,v_ment,r,burst
soundcloud,7.495098039215686,0.5906862745098039,1.4754901960784315,2.5169811320754714,5.65176505303701,0.0029167066417055583,0.007119642650734959,0.2914753047517676,2,3,3,7,-0.2433126098311592,0
somefactsyoushouldknow,42.59375,8.041666666666666,1.2916666666666667,2.027737528462016,5.119809903036296,0.0009396263212386428,0.007283042252520009,0.18074656344932263,5,39,3,6,-0.2063644636506332,1
amitheonlyonethat,16.95138888888889,3.611111111111111,0.7013888888888888,2.0492920818038804,8.151052654194133,0.00037753355066843576,0.008628136111124632,0.10006779952952256,5,13,2,4,-0.23730519888446364,1
mythoughtsduringsex,18.556372549019606,3.3455882352941178,1.0,2.1070866141732285,7.9790787761326625,0.0006710887792536756,0.0077501572454041845,0.08510009438034698,7,17,4,5,-0.23113385888564353,1
youdontbelongontwitterif,21.375,5.388888888888889,0.5787037037037037,2.358974358974359,8.23538790992646,0.001618536347132775,0.010133496737561797,0.13154897262897486,4,58,2,3,-0.24182614909215955,1
liestoldontwitter,6.221813725490196,0.7647058823529411,3.676470588235294,2.184873949579832,5.137120053209179,0.0019586430118985095,0.006229847450033086,0.23607286010333264,2,3,2,5,-0.266226441549611,0
whatmakesmesmile,12.596014492753623,2.2916666666666665,0.8260869565217391,2.1984126984126986,6.969839059114825,0.00042897630284230713,0.009807466311315656,0.0883528500119816,4,15,4,10,-0.21104340787533124,1
classic,7.525735294117647,0.8149509803921569,0.9975490196078431,2.2105263157894743,5.345675762627592,0.0016127879638521928,0.006559149802103733,0.305855805232152,3,16,3,6,-0.26779628619096985,0
libras,9.91299019607843,7.4056372549019605,0.9240196078431373,2.334600760456274,10.295098549412126,0.0006498976829945313,0.011505703279107826,0.25114438360553065,2,103,4,16,-0.25810970140804373,1
thingsblackpeopletakeseriously,18.643939393939394,4.553030303030303,0.4621212121212121,2.055944055944056,7.334174474186557,0.0006295440986646862,0.011711705665726182,0.125193056403338,8,61,2,4,-0.24283320429313546,1
followngain,5.279411764705882,0.3333333333333333,0.8259803921568627,2.557377049180328,4.8765076211884715,0.0023953372766400364,0.010659395558971824,0.2853896718022249,3,3,4,15,-0.30521743534071244,0
backinthedaywheniwasakid,16.82638888888889,3.125,0.3645833333333333,2.991111111111111,7.155078348151813,0.0017545978389837526,0.008948119363120349,0.10738522385346214,6,57,3,3,-0.2206183082330036,1
ifitwasuptome,14.834821428571429,2.6279761904761907,0.4255952380952381,2.05400761016325,8.151543717954354,0.000329639148556325,0.006835789773467673,0.08154016478481561,7,32,3,6,-0.21441916779199172,1
thingsisaywhilereadingmytl,36.05357142857143,7.238095238095238,0.9166666666666666,2.0729108244531687,9.030895253752071,0.0006960347077319559,0.011918748242668944,0.13267646769506938,7,32,3,4,-0.21814524021956128,1
reasonsthatimsingle,23.276515151515152,4.409090909090909,0.7765151515151515,2.2571239231278994,7.707792023641344,0.0008759621162267351,0.01208351922650751,0.1501017898392249,2,26,2,5,-0.25646702147064104,1
